"username";"followers_20180607";"followers_20180614";"followers_20180620";"following_20180607";"following_20180614";"following_20180620"
"oscarhiljemark";30208;30354;31133;1091;1095;1098
"oussema_haddedi";1344;1590;1664;2389;2606;2831
"p.montazeri33";207051;211308;218400;21;21;22
"paolohurtado16";269604;284711;298167;610;607;605
"patrick_pemberton";1408;1411;1416;3;3;3
"paulinhop8";3469313;3495553;3517225;455;458;465
"paulodybala";16408345;16625717;16859724;292;294;294
"paulpogba";23059900;23242987;23392642;104;103;103
"pedroaquinos95";135281;157777;186981;307;315;332
"pedrogallese1";399949;433364;474156;292;297;301
"phil.coutinho";12492500;12744091;13275429;780;779;779
"philjones_4";1493582;1491437;1490064;346;346;345
"pinbaloy";167634;171462;173910;1290;1288;1289
"pipogonzalez88";54027;54856;56170;1347;1365;1375
"platte21_official";49258;50401;57714;80;80;80
"pontusjansson.18";46740;47331;48111;135;134;133
"prijo09";38651;56487;59448;63;76;79
"rajkovicpredrag";54652;54892;55713;182;182;182
"ramadansobhi51";4219774;4264380;4296368;103;104;104
"raminrezaeian";1270010;1275664;1339655;102;103;104
"raphaelguerreiro14";542369;542058;543401;332;332;331
"raphaelvarane";8676355;8777734;8837899;57;57;57
"rashid.mazaheri12";43127;43910;46757;158;147;146
"raulruidiazm";421821;449988;487191;101;102;102
"rbuerki";577835;579423;594449;184;184;184
"rcassio12";697715;704844;710506;737;695;696
"reda_tagnaouti";47112;53067;58928;398;202;210
"remo_freuler";41146;41288;42275;164;165;165
"renatoaugusto8";806693;814243;819124;710;714;714
"renatotapiac";471434;502043;540543;523;529;535
"rgucci16";1144156;1148082;1210148;134;132;136
"ri_pereira";165174;167451;168211;300;304;303
"ricardoquaresmaoficial";2742914;2763616;2810131;992;995;997
"rmatarrita_22";93800;96879;102464;2497;2468;2459
"roberto_firmino";4520567;4629450;4752195;449;452;463
"robinolsen25";17923;18268;18924;310;311;312
"rodrigo_bentancur";309442;320692;329648;97;99;101
"rodrigom_91";197655;201816;204856;332;332;331
"rodwall22";35622;39651;40566;923;924;924
"roilionpapis8";125890;126467;127462;298;293;293
"romantorres_05";181059;192700;202380;261;273;287
"romelulukaku";3056954;3075706;3115919;211;213;216
"roozbeh_cheshmii4";1250;1242;1281;7438;7495;7477
"rpatricio1";506314;509400;516782;355;356;355
"rrodriguez.68";431103;432389;436263;167;167;167
"rubendias";90876;93573;96360;520;523;529
"rubey_lcheek";769691;786053;806764;213;215;218
"rudy_sebastian19";237908;240678;247162;73;74;74
"runaralex";3691;3982;8316;771;773;779
"rurikgislason";28837;31829;626985;816;820;821
"saadsamirr20";153893;159488;164277;97;97;98
"sadiomaneofficiel";2252565;2270231;2284906;132;132;133
"saifkhaoui20";48504;50940;53191;152;151;144
"sakai_go1123";84131;85527;87726;275;276;277
"saman.ghoddos";131213;138923;176617;291;291;290
"sami_khedira6";4676737;4706082;4745886;163;163;164
"sammorsy08";74313;74210;74118;332;340;344
"samumtiti";3847208;3882970;3913563;237;237;238
"santiagoarias13";1488283;1497220;1512076;238;239;239
"sardar_azmoun";2380418;2391825;2462069;152;156;155
"saulniguez";928262;940878;944706;716;722;722
"sebastiancoates16";134637;138328;140529;128;132;134
"seblarsson_official";25251;30883;33344;108;118;118
"sergej___21";208184;217034;244224;248;251;250
"sergioramos";24091790;24274651;24549978;941;945;944
"seungwoolee";140340;141409;154503;200;200;199
"shaqirixherdan";1043636;1046399;1055622;360;365;370
"sherifekramyofficial";1691054;1697526;1704017;411;414;416
"shikabala7";754704;762365;765769;420;420;421
"simy_official_99";33373;33688;33643;568;582;585
"sisto1995";47816;48631;51152;12;11;9
"sk23.10";1242252;1246649;1272881;299;299;298
"slawomirpeszko";194770;199976;203766;288;286;283
"sofyanamrabat";199771;216584;273838;87;87;86
"sombra2502";219248;247586;279892;407;412;415
"sssg__18";19959;19987;20334;270;270;268
"stephanlichtsteiner";714895;714912;718679;20;21;21
"sterling7";3686134;3716379;3719119;364;374;374
"stevemandanda1";464246;466840;466209;216;222;227
"stevenzauber";21064;21349;27999;232;233;233
"strinic";17617;17808;18308;116;116;117
"stuanicristhian";35638;42139;49843;169;170;171
"svrsaljkoofficial";1171;1212;1317;3;3;3
"sykurson";23440;24973;45065;301;314;323
"tagliafico3";233533;245095;263888;344;347;347
"taisonfreda7";242393;254959;264968;307;308;309
